pincode,centroid_x,centroid_y,lat_0_5,lon_0_5,lat_0_25,lon_0_25,lat_0_1,lon_0_1,stcode11,dtcode11,sdtcode11,stname,dtname,sdtname,subdt_lgd,dist_lgd,state_lgd,geometry
712502,88.39669957,22.9634967,23,88.5,23,88.5,23,88.4,19,338,02346,WEST BENGAL,Hooghly,Chinsurah - Magra,2346,312,19,POINT (88.39669956818823 22.963496698991822)
712503,88.39185035,22.98860496,23,88.5,23,88.5,23,88.4,19,338,02346,WEST BENGAL,Hooghly,Chinsurah - Magra,2346,312,19,POINT (88.39185034623898 22.9886049599516)
712504,88.40633378,23.00049258,23,88.5,23,88.5,23,88.4,19,338,02346,WEST BENGAL,Hooghly,Chinsurah - Magra,2346,312,19,POINT (88.40633378047443 23.00049258193924)
712512,88.41720883,23.1859589,23,88.5,23.25,88.5,23.2,88.4,19,338,02345,WEST BENGAL,Hooghly,Balagarh,2345,312,19,POINT (88.41720882551621 23.185958903126867)
712513,88.4129027,23.02115708,23,88.5,23,88.5,23,88.4,19,338,02345,WEST BENGAL,Hooghly,Balagarh,2345,312,19,POINT (88.41290270024675 23.02115707784136)
712514,88.4644231,23.12347457,23,88.5,23,88.5,23.1,88.5,19,338,02345,WEST BENGAL,Hooghly,Balagarh,2345,312,19,POINT (88.46442309670526 23.12347456826847)
712515,88.431751,23.06043126,23,88.5,23,88.5,23.1,88.4,19,338,02345,WEST BENGAL,Hooghly,Balagarh,2345,312,19,POINT (88.43175099797773 23.060431263420575)
712601,87.78393845,22.89750965,23,88,23,87.75,22.9,87.8,19,338,02340,WEST BENGAL,Hooghly,Arambag,2340,312,19,POINT (87.78393844685407 22.89750965099107)
712602,87.74533489,22.94120661,23,87.5,23,87.75,22.9,87.7,19,338,02338,WEST BENGAL,Hooghly,Goghat - I,2338,312,19,POINT (87.74533489096156 22.941206605833834)
712611,87.6834912,22.96644369,23,87.5,23,87.75,23,87.7,19,338,02339,WEST BENGAL,Hooghly,Goghat - II,2339,312,19,POINT (87.68349119782029 22.96644368593821)
